	flight_id	airline	origin_airport	destination_airport	flight_number	delay_reason	departure_delay	scheduled_trip_time	scheduled_departure	scheduled_arrival	day_of_week	day_of_year
1624	1624	B6	BOS	LAX	287	None	ON_TIME	LONG_FLIGHT	MORNING	MORNING	4	1
1626	1626	B6	BOS	JFK	617	None	ON_TIME	SHORT_FLIGHT	MORNING	MORNING	4	1
1634	1634	DL	BOS	MSP	819	None	ON_TIME	LONG_FLIGHT	MORNING	MORNING	4	1
1708	1708	WN	BOS	BWI	801	None	ON_TIME	MID_FLIGHT	MORNING	MORNING	4	1
1785	1785	US	BOS	CLT	466	None	ON_TIME	MID_FLIGHT	MORNING	MORNING	4	1
1790	1790	B6	BOS	BWI	427	None	ON_TIME	MID_FLIGHT	MORNING	MORNING	4	1
1866	1866	B6	BOS	DEN	493	AIR_SYSTEM	ON_TIME	LONG_FLIGHT	MORNING	MORNING	4	1
2034	2034	B6	BOS	SFO	133	None	ON_TIME	LONG_FLIGHT	MORNING	AFTERNOON	4	1
2036	2036	B6	BOS	RSW	465	None	ON_TIME	LONG_FLIGHT	MORNING	AFTERNOON	4	1
2037	2037	B6	BOS	LAS	1077	None	ON_TIME	LONG_FLIGHT	MORNING	MORNING	4	1
2048	2048	DL	BOS	MCO	2050	None	ON_TIME	LONG_FLIGHT	MORNING	MORNING	4	1
2114	2114	B6	BOS	RDU	1383	None	ON_TIME	MID_FLIGHT	MORNING	MORNING	4	1
2249	2249	B6	BOS	DCA	389	None	ON_TIME	MID_FLIGHT	MORNING	MORNING	4	1
2254	2254	DL	BOS	DTW	583	None	ON_TIME	MID_FLIGHT	MORNING	MORNING	4	1
2293	2293	UA	BOS	DEN	339	AIR_SYSTEM	ON_TIME	LONG_FLIGHT	MORNING	MORNING	4	1
2442	2442	AA	BOS	LAX	25	None	ON_TIME	LONG_FLIGHT	MORNING	AFTERNOON	4	1
2554	2554	UA	BOS	ORD	1135	LATE_AIRCRAFT	SMALL_DELAY	MID_FLIGHT	MORNING	MORNING	4	1
2599	2599	B6	BOS	MCO	151	None	ON_TIME	LONG_FLIGHT	MORNING	AFTERNOON	4	1
2814	2814	AA	BOS	DFW	1027	AIR_SYSTEM	ON_TIME	LONG_FLIGHT	MORNING	AFTERNOON	4	1
2821	2821	B6	BOS	SAV	49	None	ON_TIME	MID_FLIGHT	MORNING	AFTERNOON	4	1
2822	2822	B6	BOS	PBI	921	None	SMALL_DELAY	LONG_FLIGHT	MORNING	AFTERNOON	4	1
2861	2861	WN	BOS	BWI	235	None	ON_TIME	MID_FLIGHT	MORNING	MORNING	4	1
2930	2930	UA	BOS	IAD	791	None	ON_TIME	MID_FLIGHT	MORNING	MORNING	4	1
2947	2947	US	BOS	CLT	529	None	ON_TIME	MID_FLIGHT	MORNING	AFTERNOON	4	1
2954	2954	B6	BOS	RSW	665	None	ON_TIME	LONG_FLIGHT	MORNING	AFTERNOON	4	1
2957	2957	B6	BOS	EWR	2379	None	ON_TIME	SHORT_FLIGHT	MORNING	MORNING	4	1
2966	2966	UA	BOS	EWR	751	None	ON_TIME	SHORT_FLIGHT	MORNING	MORNING	4	1
2980	2980	B6	BOS	SJU	61	None	ON_TIME	LONG_FLIGHT	MORNING	AFTERNOON	4	1
2991	2991	US	BOS	PHX	1856	None	ON_TIME	LONG_FLIGHT	MORNING	AFTERNOON	4	1
3011	3011	AA	BOS	JFK	84	None	ON_TIME	SHORT_FLIGHT	MORNING	MORNING	4	1
3044	3044	B6	BOS	SRQ	741	None	ON_TIME	LONG_FLIGHT	MORNING	AFTERNOON	4	1
3049	3049	B6	BOS	FLL	2169	AIRLINE	MID_DELAY	LONG_FLIGHT	MORNING	AFTERNOON	4	1
3096	3096	DL	BOS	ATL	1601	None	ON_TIME	LONG_FLIGHT	MORNING	AFTERNOON	4	1
3097	3097	EV	BOS	CLE	4126	None	ON_TIME	MID_FLIGHT	MORNING	AFTERNOON	4	1
3218	3218	WN	BOS	ATL	1824	None	ON_TIME	LONG_FLIGHT	MORNING	AFTERNOON	4	1
3342	3342	DL	BOS	MSP	829	None	ON_TIME	LONG_FLIGHT	MORNING	AFTERNOON	4	1
3419	3419	AA	BOS	ORD	160	None	ON_TIME	LONG_FLIGHT	MORNING	AFTERNOON	4	1
3459	3459	B6	BOS	BUF	815	None	ON_TIME	MID_FLIGHT	MORNING	MORNING	4	1
3503	3503	B6	BOS	STT	807	None	ON_TIME	LONG_FLIGHT	MORNING	AFTERNOON	4	1
3532	3532	B6	BOS	RIC	1081	None	ON_TIME	MID_FLIGHT	MORNING	AFTERNOON	4	1
3579	3579	B6	BOS	CHS	1667	None	ON_TIME	MID_FLIGHT	MORNING	AFTERNOON	4	1
3632	3632	B6	BOS	MCO	251	LATE_AIRCRAFT	MID_DELAY	LONG_FLIGHT	MORNING	AFTERNOON	4	1
3689	3689	B6	BOS	JFK	717	None	ON_TIME	SHORT_FLIGHT	MORNING	MORNING	4	1
3762	3762	US	BOS	PHL	1748	None	ON_TIME	SHORT_FLIGHT	MORNING	MORNING	4	1
3829	3829	UA	BOS	SFO	1727	None	ON_TIME	LONG_FLIGHT	MORNING	AFTERNOON	4	1
3835	3835	WN	BOS	BWI	1089	None	ON_TIME	MID_FLIGHT	MORNING	AFTERNOON	4	1
3895	3895	WN	BOS	MDW	200	None	ON_TIME	LONG_FLIGHT	MORNING	AFTERNOON	4	1
4011	4011	B6	BOS	SEA	597	AIR_SYSTEM	LARGE_DELAY	LONG_FLIGHT	MORNING	AFTERNOON	4	1
4140	4140	B6	BOS	RDU	1083	None	ON_TIME	MID_FLIGHT	MORNING	AFTERNOON	4	1
4141	4141	B6	BOS	RSW	965	None	ON_TIME	LONG_FLIGHT	MORNING	AFTERNOON	4	1
4147	4147	B6	BOS	FLL	2269	None	ON_TIME	LONG_FLIGHT	MORNING	AFTERNOON	4	1
4164	4164	NK	BOS	RSW	239	None	ON_TIME	LONG_FLIGHT	MORNING	AFTERNOON	4	1
4195	4195	VX	BOS	SFO	1351	None	SMALL_DELAY	LONG_FLIGHT	MORNING	AFTERNOON	4	1
4251	4251	DL	BOS	ATL	1801	None	ON_TIME	LONG_FLIGHT	MORNING	AFTERNOON	4	1
4288	4288	US	BOS	CLT	891	None	ON_TIME	MID_FLIGHT	MORNING	AFTERNOON	4	1
4313	4313	B6	BOS	MCO	451	None	ON_TIME	LONG_FLIGHT	MORNING	AFTERNOON	4	1
4419	4419	UA	BOS	IAH	336	None	ON_TIME	LONG_FLIGHT	MORNING	AFTERNOON	4	1
4458	4458	AA	BOS	MIA	1582	None	ON_TIME	LONG_FLIGHT	MORNING	AFTERNOON	4	1
4462	4462	B6	BOS	DCA	589	None	ON_TIME	MID_FLIGHT	MORNING	AFTERNOON	4	1
4799	4799	AA	BOS	DFW	1186	AIR_SYSTEM	ON_TIME	LONG_FLIGHT	MORNING	AFTERNOON	4	1
4806	4806	B6	BOS	TPA	391	AIRLINE	ON_TIME	LONG_FLIGHT	MORNING	AFTERNOON	4	1
4811	4811	DL	BOS	FLL	2485	None	ON_TIME	LONG_FLIGHT	MORNING	AFTERNOON	4	1
4911	4911	B6	BOS	PHL	759	None	ON_TIME	MID_FLIGHT	MORNING	AFTERNOON	4	1
5110	5110	AA	BOS	ORD	1083	None	ON_TIME	MID_FLIGHT	MORNING	AFTERNOON	4	1
5172	5172	US	BOS	DCA	2113	None	ON_TIME	SHORT_FLIGHT	AFTERNOON	AFTERNOON	4	1
5344	5344	B6	BOS	JFK	117	None	ON_TIME	SHORT_FLIGHT	AFTERNOON	AFTERNOON	4	1
5389	5389	DL	BOS	ATL	1901	None	ON_TIME	LONG_FLIGHT	AFTERNOON	AFTERNOON	4	1
5452	5452	DL	BOS	MSP	859	None	ON_TIME	LONG_FLIGHT	AFTERNOON	AFTERNOON	4	1
5488	5488	B6	BOS	DCA	689	None	ON_TIME	MID_FLIGHT	AFTERNOON	AFTERNOON	4	1
5578	5578	WN	BOS	DEN	362	AIR_SYSTEM	ON_TIME	LONG_FLIGHT	AFTERNOON	AFTERNOON	4	1
5609	5609	DL	BOS	DTW	159	None	ON_TIME	MID_FLIGHT	AFTERNOON	AFTERNOON	4	1
5647	5647	US	BOS	PHL	1716	None	ON_TIME	SHORT_FLIGHT	AFTERNOON	AFTERNOON	4	1
5675	5675	DL	BOS	SLC	1372	None	ON_TIME	LONG_FLIGHT	AFTERNOON	AFTERNOON	4	1
5716	5716	UA	BOS	EWR	281	None	ON_TIME	MID_FLIGHT	AFTERNOON	AFTERNOON	4	1
5745	5745	B6	BOS	IAD	457	None	ON_TIME	MID_FLIGHT	AFTERNOON	AFTERNOON	4	1
5949	5949	US	BOS	CLT	626	None	ON_TIME	MID_FLIGHT	AFTERNOON	AFTERNOON	4	1
6020	6020	WN	BOS	BWI	490	None	ON_TIME	MID_FLIGHT	AFTERNOON	AFTERNOON	4	1
6371	6371	AA	BOS	DFW	2470	AIRLINE	LARGE_DELAY	LONG_FLIGHT	AFTERNOON	AFTERNOON	4	1
6477	6477	B6	BOS	MSY	401	AIRLINE	SMALL_DELAY	LONG_FLIGHT	AFTERNOON	AFTERNOON	4	1
6631	6631	DL	BOS	ATL	981	None	ON_TIME	LONG_FLIGHT	AFTERNOON	AFTERNOON	4	1
6772	6772	AA	BOS	ORD	1551	None	ON_TIME	LONG_FLIGHT	AFTERNOON	AFTERNOON	4	1
6808	6808	B6	BOS	SJU	861	None	ON_TIME	LONG_FLIGHT	AFTERNOON	EVENING	4	1
6813	6813	UA	BOS	EWR	742	None	ON_TIME	MID_FLIGHT	AFTERNOON	AFTERNOON	4	1
6825	6825	WN	BOS	ATL	4788	None	ON_TIME	LONG_FLIGHT	AFTERNOON	AFTERNOON	4	1
6857	6857	B6	BOS	JAX	1209	None	ON_TIME	LONG_FLIGHT	AFTERNOON	AFTERNOON	4	1
7013	7013	AA	BOS	MIA	1185	None	ON_TIME	LONG_FLIGHT	AFTERNOON	AFTERNOON	4	1
7133	7133	B6	BOS	PBI	821	LATE_AIRCRAFT	LARGE_DELAY	LONG_FLIGHT	AFTERNOON	AFTERNOON	4	1
7311	7311	UA	BOS	ORD	1037	None	ON_TIME	LONG_FLIGHT	AFTERNOON	AFTERNOON	4	1
7433	7433	B6	BOS	FLL	69	None	ON_TIME	LONG_FLIGHT	AFTERNOON	AFTERNOON	4	1
7457	7457	WN	BOS	BWI	717	None	ON_TIME	MID_FLIGHT	AFTERNOON	AFTERNOON	4	1
7523	7523	US	BOS	PHL	1776	None	ON_TIME	MID_FLIGHT	AFTERNOON	AFTERNOON	4	1
7595	7595	B6	BOS	JFK	417	None	ON_TIME	SHORT_FLIGHT	AFTERNOON	AFTERNOON	4	1
7681	7681	US	BOS	CLT	1799	None	ON_TIME	MID_FLIGHT	AFTERNOON	AFTERNOON	4	1
7698	7698	AA	BOS	JFK	193	None	ON_TIME	SHORT_FLIGHT	AFTERNOON	AFTERNOON	4	1
7799	7799	DL	BOS	ATL	105	None	ON_TIME	LONG_FLIGHT	AFTERNOON	AFTERNOON	4	1
7819	7819	B6	BOS	BUF	1615	None	ON_TIME	MID_FLIGHT	AFTERNOON	AFTERNOON	4	1
7895	7895	B6	BOS	DFW	1115	AIR_SYSTEM	ON_TIME	LONG_FLIGHT	AFTERNOON	EVENING	4	1
8212	8212	B6	BOS	EWR	2579	None	ON_TIME	MID_FLIGHT	AFTERNOON	AFTERNOON	4	1
8224	8224	UA	BOS	DEN	448	None	ON_TIME	LONG_FLIGHT	AFTERNOON	EVENING	4	1
8472	8472	WN	BOS	BNA	926	AIRLINE	SMALL_DELAY	LONG_FLIGHT	AFTERNOON	AFTERNOON	4	1
8549	8549	UA	BOS	SFO	503	None	ON_TIME	LONG_FLIGHT	AFTERNOON	EVENING	4	1
8608	8608	UA	BOS	EWR	744	None	ON_TIME	MID_FLIGHT	AFTERNOON	AFTERNOON	4	1
8656	8656	AA	BOS	ORD	1063	None	ON_TIME	LONG_FLIGHT	AFTERNOON	AFTERNOON	4	1
8681	8681	B6	BOS	RSW	1065	None	ON_TIME	LONG_FLIGHT	AFTERNOON	EVENING	4	1
8682	8682	B6	BOS	CLT	1445	None	ON_TIME	MID_FLIGHT	AFTERNOON	EVENING	4	1
8850	8850	B6	BOS	MCO	951	AIRLINE	MID_DELAY	LONG_FLIGHT	AFTERNOON	EVENING	4	1
8907	8907	B6	BOS	DTW	1237	None	ON_TIME	MID_FLIGHT	AFTERNOON	EVENING	4	1
8920	8920	NK	BOS	PBI	203	None	ON_TIME	LONG_FLIGHT	AFTERNOON	EVENING	4	1
8933	8933	B6	BOS	RDU	2783	None	ON_TIME	MID_FLIGHT	AFTERNOON	EVENING	4	1
8939	8939	B6	BOS	ORD	1011	None	ON_TIME	MID_FLIGHT	AFTERNOON	AFTERNOON	4	1
8961	8961	WN	BOS	MKE	1027	None	ON_TIME	MID_FLIGHT	AFTERNOON	AFTERNOON	4	1
9089	9089	AA	BOS	DFW	1448	None	ON_TIME	LONG_FLIGHT	AFTERNOON	EVENING	4	1
9144	9144	AA	BOS	LAX	165	AIR_SYSTEM	ON_TIME	LONG_FLIGHT	AFTERNOON	EVENING	4	1
9152	9152	B6	BOS	LGB	405	AIR_SYSTEM	ON_TIME	LONG_FLIGHT	AFTERNOON	EVENING	4	1
9228	9228	B6	BOS	PIT	1685	None	ON_TIME	MID_FLIGHT	AFTERNOON	EVENING	4	1
9275	9275	US	BOS	PHX	629	AIR_SYSTEM	ON_TIME	LONG_FLIGHT	AFTERNOON	EVENING	4	1
9348	9348	B6	BOS	TPA	691	None	ON_TIME	LONG_FLIGHT	AFTERNOON	EVENING	4	1
9425	9425	WN	BOS	ATL	4010	None	SMALL_DELAY	LONG_FLIGHT	AFTERNOON	EVENING	4	1
9507	9507	WN	BOS	MDW	433	None	ON_TIME	MID_FLIGHT	AFTERNOON	EVENING	4	1
9526	9526	UA	BOS	IAH	1644	LATE_AIRCRAFT	LARGE_DELAY	LONG_FLIGHT	AFTERNOON	EVENING	4	1
9568	9568	DL	BOS	DTW	1523	None	ON_TIME	MID_FLIGHT	AFTERNOON	EVENING	4	1
9721	9721	B6	BOS	MCO	1351	None	ON_TIME	LONG_FLIGHT	AFTERNOON	EVENING	4	1
9758	9758	B6	BOS	SFO	633	AIR_SYSTEM	ON_TIME	LONG_FLIGHT	AFTERNOON	EVENING	4	1
9773	9773	WN	BOS	DEN	1776	AIR_SYSTEM	ON_TIME	LONG_FLIGHT	AFTERNOON	EVENING	4	1
9830	9830	B6	BOS	SAN	19	None	ON_TIME	LONG_FLIGHT	AFTERNOON	EVENING	4	1
9842	9842	US	BOS	CLT	2043	None	ON_TIME	MID_FLIGHT	AFTERNOON	EVENING	4	1
9843	9843	US	BOS	DCA	2123	None	ON_TIME	MID_FLIGHT	AFTERNOON	EVENING	4	1
9874	9874	AA	BOS	ORD	1065	None	ON_TIME	LONG_FLIGHT	AFTERNOON	EVENING	4	1
9944	9944	WN	BOS	HOU	4141	None	ON_TIME	LONG_FLIGHT	AFTERNOON	EVENING	4	1
9969	9969	AA	BOS	MIA	1533	LATE_AIRCRAFT	MID_DELAY	LONG_FLIGHT	AFTERNOON	EVENING	4	1
9977	9977	AS	BOS	PDX	33	None	ON_TIME	LONG_FLIGHT	AFTERNOON	EVENING	4	1
10063	10063	B6	BOS	JFK	1317	None	ON_TIME	SHORT_FLIGHT	AFTERNOON	EVENING	4	1
10131	10131	B6	BOS	SJC	471	None	ON_TIME	LONG_FLIGHT	AFTERNOON	EVENING	4	1
10132	10132	B6	BOS	DCA	989	None	ON_TIME	MID_FLIGHT	AFTERNOON	EVENING	4	1
10137	10137	EV	BOS	ATL	5159	LATE_AIRCRAFT	MID_DELAY	LONG_FLIGHT	AFTERNOON	EVENING	4	1
10174	10174	UA	BOS	ORD	1025	None	ON_TIME	LONG_FLIGHT	AFTERNOON	EVENING	4	1
10203	10203	B6	BOS	LAX	487	AIRLINE	LARGE_DELAY	LONG_FLIGHT	AFTERNOON	EVENING	4	1
10227	10227	B6	BOS	PBI	121	None	SMALL_DELAY	LONG_FLIGHT	AFTERNOON	EVENING	4	1
10309	10309	NK	BOS	FLL	615	None	ON_TIME	LONG_FLIGHT	AFTERNOON	EVENING	4	1
10465	10465	B6	BOS	RSW	1165	None	SMALL_DELAY	LONG_FLIGHT	AFTERNOON	EVENING	4	1
10530	10530	B6	BOS	BWI	827	None	ON_TIME	MID_FLIGHT	AFTERNOON	EVENING	4	1
10552	10552	B6	BOS	FLL	1969	AIRLINE	SMALL_DELAY	LONG_FLIGHT	AFTERNOON	EVENING	4	1
10571	10571	VX	BOS	LAX	367	None	ON_TIME	LONG_FLIGHT	AFTERNOON	EVENING	4	1
10606	10606	AA	BOS	JFK	1096	LATE_AIRCRAFT	SMALL_DELAY	SHORT_FLIGHT	AFTERNOON	EVENING	4	1
10608	10608	AA	BOS	DFW	1124	AIR_SYSTEM	ON_TIME	LONG_FLIGHT	AFTERNOON	EVENING	4	1
10620	10620	DL	BOS	JFK	793	None	ON_TIME	SHORT_FLIGHT	AFTERNOON	EVENING	4	1
10722	10722	B6	BOS	PHX	603	None	ON_TIME	LONG_FLIGHT	AFTERNOON	EVENING	4	1
10748	10748	WN	BOS	BWI	3564	LATE_AIRCRAFT	MID_DELAY	MID_FLIGHT	AFTERNOON	EVENING	4	1
10769	10769	AA	BOS	ORD	1670	None	ON_TIME	LONG_FLIGHT	AFTERNOON	EVENING	4	1
10808	10808	DL	BOS	LAX	2532	None	ON_TIME	LONG_FLIGHT	AFTERNOON	EVENING	4	1
11022	11022	AS	BOS	SAN	769	None	ON_TIME	LONG_FLIGHT	EVENING	EVENING	4	1
11130	11130	B6	BOS	PHL	1159	None	ON_TIME	MID_FLIGHT	EVENING	EVENING	4	1
11158	11158	B6	BOS	PBI	1321	None	SMALL_DELAY	LONG_FLIGHT	EVENING	EVENING	4	1
11309	11309	B6	BOS	IAD	1257	None	ON_TIME	MID_FLIGHT	EVENING	EVENING	4	1
11339	11339	WN	BOS	STL	4019	None	SMALL_DELAY	LONG_FLIGHT	EVENING	EVENING	4	1
11424	11424	AS	BOS	SEA	15	None	ON_TIME	LONG_FLIGHT	EVENING	EVENING	4	1
11506	11506	B6	BOS	SEA	497	AIR_SYSTEM	ON_TIME	LONG_FLIGHT	EVENING	EVENING	4	1
11560	11560	B6	BOS	EWR	2679	None	ON_TIME	MID_FLIGHT	EVENING	EVENING	4	1
11656	11656	VX	BOS	SFO	357	WEATHER	ON_TIME	LONG_FLIGHT	EVENING	EVENING	4	1
11671	11671	US	BOS	PHX	897	AIR_SYSTEM	ON_TIME	LONG_FLIGHT	EVENING	EVENING	4	1
11712	11712	B6	BOS	MCO	1551	None	ON_TIME	LONG_FLIGHT	EVENING	EVENING	4	1
11812	11812	US	BOS	CLT	1788	LATE_AIRCRAFT	SMALL_DELAY	MID_FLIGHT	EVENING	EVENING	4	1
11831	11831	AA	BOS	MIA	1355	None	ON_TIME	LONG_FLIGHT	EVENING	EVENING	4	1
11877	11877	WN	BOS	MCI	2560	None	ON_TIME	LONG_FLIGHT	EVENING	EVENING	4	1
11901	11901	B6	BOS	FLL	469	None	ON_TIME	LONG_FLIGHT	EVENING	EVENING	4	1
11928	11928	B6	BOS	DCA	1089	None	ON_TIME	MID_FLIGHT	EVENING	EVENING	4	1
11945	11945	WN	BOS	MDW	574	LATE_AIRCRAFT	SMALL_DELAY	MID_FLIGHT	EVENING	EVENING	4	1
11971	11971	B6	BOS	PBI	321	None	ON_TIME	LONG_FLIGHT	EVENING	EVENING	4	1
11993	11993	B6	BOS	LAX	687	None	ON_TIME	LONG_FLIGHT	EVENING	EVENING	4	1
12033	12033	UA	BOS	IAD	363	None	ON_TIME	MID_FLIGHT	EVENING	EVENING	4	1
12202	12202	WN	BOS	CAK	376	None	ON_TIME	MID_FLIGHT	EVENING	EVENING	4	1
12227	12227	B6	BOS	DEN	993	AIR_SYSTEM	ON_TIME	LONG_FLIGHT	EVENING	EVENING	4	1
12381	12381	AA	BOS	ORD	1612	None	ON_TIME	MID_FLIGHT	EVENING	EVENING	4	1
12467	12467	B6	BOS	DTW	1837	AIR_SYSTEM	ON_TIME	MID_FLIGHT	EVENING	EVENING	4	1
12541	12541	B6	BOS	SFO	833	None	ON_TIME	LONG_FLIGHT	EVENING	EVENING	4	1
12571	12571	UA	BOS	IAH	1233	None	ON_TIME	LONG_FLIGHT	EVENING	EVENING	4	1
12613	12613	B6	BOS	LAS	777	AIRLINE	MID_DELAY	LONG_FLIGHT	EVENING	EVENING	4	1
12730	12730	B6	BOS	MCO	1451	None	ON_TIME	LONG_FLIGHT	EVENING	EVENING	4	1
12776	12776	AA	BOS	LAX	223	None	ON_TIME	LONG_FLIGHT	EVENING	EVENING	4	1
12856	12856	US	BOS	PHL	517	None	ON_TIME	SHORT_FLIGHT	EVENING	EVENING	4	1
12920	12920	B6	BOS	TPA	991	None	ON_TIME	LONG_FLIGHT	EVENING	EVENING	4	1
12961	12961	B6	BOS	JFK	317	None	ON_TIME	SHORT_FLIGHT	EVENING	EVENING	4	1
13104	13104	B6	BOS	RDU	1583	None	ON_TIME	MID_FLIGHT	EVENING	EVENING	4	1
13308	13308	B6	BOS	FLL	1269	None	ON_TIME	LONG_FLIGHT	EVENING	NIGHT	4	1
13324	13324	B6	BOS	RSW	865	AIRLINE	MID_DELAY	LONG_FLIGHT	EVENING	NIGHT	4	1
13346	13346	B6	BOS	SJU	261	None	ON_TIME	LONG_FLIGHT	EVENING	NIGHT	4	1
13940	13940	B6	BOS	SJU	361	None	ON_TIME	LONG_FLIGHT	EVENING	NIGHT	4	1
14040	14040	UA	BOS	IAH	1003	None	ON_TIME	LONG_FLIGHT	NIGHT	MORNING	5	2
14042	14042	US	BOS	CLT	843	None	ON_TIME	MID_FLIGHT	NIGHT	MORNING	5	2
14065	14065	NK	BOS	MYR	103	None	ON_TIME	MID_FLIGHT	NIGHT	MORNING	5	2
14076	14076	AA	BOS	MIA	2454	None	ON_TIME	LONG_FLIGHT	NIGHT	MORNING	5	2
14103	14103	US	BOS	PHL	1909	None	ON_TIME	SHORT_FLIGHT	NIGHT	MORNING	5	2
14139	14139	B6	BOS	BWI	727	None	ON_TIME	MID_FLIGHT	NIGHT	MORNING	5	2
14168	14168	B6	BOS	PBI	721	AIR_SYSTEM	ON_TIME	LONG_FLIGHT	NIGHT	MORNING	5	2
14169	14169	B6	BOS	JFK	917	None	ON_TIME	SHORT_FLIGHT	NIGHT	MORNING	5	2
14188	14188	B6	BOS	BUF	515	None	ON_TIME	MID_FLIGHT	NIGHT	MORNING	5	2
